cluster Id RA DEC z_merino semimajor_axis semiminor_axis orientation
a209 218 22.9730375 -13.5973175 0.8485 39 17 15
a209 1020 22.978324999999998 -13.612234166666667 0.5941 57 31 -40
a209 1312 22.97045 -13.616914166666668 0.59 29 22 -40
a209 1602 22.96975 -13.621598888888888 0.3954 36 31 -11
a209 1669 22.9816125 -13.621115555555555 0.8485 26 14 0
a209 1671 22.979675 -13.623325277777777 0.4548 23 18 -62
a209 1708 22.961758333333332 -13.624078333333333 0.6995 22 18 18
a209 1772 22.980629166666667 -13.625984166666667 0.4791 27 18 -32
a383 58 42.01558333333333 -3.508325 0.4042 35 27 -9
a383 128 42.000504166666666 -3.511683888888889 1.0305 24 20 -47
a383 193 42.006233333333334 -3.5095191666666667 0.3729 25 12 -71
a383 401 42.003775 -3.516313333333333 0.6488 35 30 2
a383 799 42.01176666666667 -3.524363888888889 0.2826 34 19 -36
a383 946 42.0320375 -3.5268691666666667 0.7899 21 17 65
a383 1274 42.00504166666667 -3.532018888888889 0.433 26 17 0
a383 1307 42.001562500000006 -3.5322069444444444 0.6639 21 15 73
a383 1366 42.005829166666665 -3.5347494444444445 0.9156 47 29 61
a383 1431 41.99455833333333 -3.5350325 0.8629 18 11 73
a383 1459 42.007154166666666 -3.5359622222222225 0.618 21 11 -69
a383 1574 42.00810833333333 -3.537986388888889 0.9435 16 10 80
a383 2443 42.012075 -3.5579508333333334 0.3463 24 21 -65
a383 2506 41.996233333333336 -3.5564366666666665 0.8511 15 13 78
a611 1012 120.22455416666666 36.05305083333333 0.5592 29 13 60
a611 214 120.239175 36.07266666666667 0.8486 21 13 -16
a611 500 120.22784583333335 36.06370777777778 0.1239 79 59 -51
a611 554 120.247325 36.063741388888886 0.3947 19 13 1
a611 769 120.243875 36.057943888888886 1.1656 13 7 82
macs0329 1599 52.434916666666666 -2.204998333333333 0.9186 10 9 39
macs0329 1903 52.414970833333335 -2.2146730555555556 1.0436 13 9 -88
macs0329 204 52.4302625 -2.1818222222222223 0.8144 20 11 2
macs0329 75 52.42405 -2.1771594444444444 0.6426 44 37 -16
macs0416 1061 64.02457083333333 -24.073641666666667 0.7953 26 16 66
macs0416 1250 64.015575 -24.076924166666668 0.872 28 15 73
macs0416 1457 64.02648333333335 -24.080882777777777 0.7145 58 44 41
macs0416 1774 64.04405833333333 -24.087250833333332 0.6927 19 16 -3
macs0416 310 64.055525 -24.060733055555556 0.579 11 8 -15
macs0416 439 64.04725833333333 -24.063252777777777 0.6077 43 14 81
macs0416 902 64.02330416666668 -24.071423333333332 0.7339 31 26 24
macs0416 976 64.05404166666668 -24.072526944444444 0.6637 20 12 87
macs0416 987 64.0503 -24.072678055555556 0.6877 42 35 5
macs0429 1313 67.3864375 -2.8915224999999998 0.7728 29 24 -15
macs0429 1424 67.42093333333334 -2.8930041666666666 0.3924 22 21 -45
macs0429 422 67.38925 -2.8741166666666667 0.8071 16 12 -60
macs0429 432 67.40852916666667 -2.875360277777778 0.5367 22 19 62
macs0429 723 67.37916666666666 -2.877686111111111 0.8493 16 10 78
macs0429 785 67.40598750000001 -2.8810036111111113 0.5865 37 23 17
macs0429 909 67.41654583333333 -2.8828116666666666 0.6412 20 11 15
macs0717 898 109.3767375 37.75347861111111 0.8429 10 8 35
macs0717 312 109.38791666666667 37.76305583333333 0.9324 32 29 68
macs0717 2156 109.38512083333333 37.732393888888886 1.1415 32 26 28
macs0717 2042 109.39141666666667 37.73642916666667 0.6582 31 22 21
macs0717 1168 109.3656625 37.75011583333333 0.8801 11 6 83
macs0744 935 116.22639166666666 39.46109972222222 0.3975 11 9 -10
macs0744 1920 116.2372625 39.44828972222222 0.9378 13 7 -21
macs0744 1128 116.2362375 39.45860138888889 0.9698 23 17 26
macs1115 511 168.94685416666667 1.5064163888888888 1.0013 23 20 -11
macs1115 497 168.980025 1.506587222222222 0.9327 23 11 88
macs1115 26 168.9693 1.5193005555555557 0.5328 35 34 5
macs1115 1604 168.97670833333333 1.4840811111111112 0.725 29 17 57
macs1115 1476 168.96367500000002 1.4891216666666667 0.6435 32 26 -78
macs1115 1298 168.97547916666667 1.4896958333333332 0.714 46 27 -31
macs1115 1267 168.95374166666667 1.4911097222222223 0.6573 25 13 73
macs1149 1005 177.3968875 22.39807 0.6028 13 11 -52
macs1149 1437 177.39120833333334 22.392714444444444 0.6025 30 18 -29
macs1149 1747 177.38686249999998 22.38962777777778 0.889 18 8 -79
macs1149 2185 177.4022875 22.37983 0.7413 56 38 20
macs1149 283 177.40592916666668 22.414269444444443 0.0873 14 11 -81
macs1149 352 177.39342083333332 22.412584166666665 0.8792 24 12 -52
macs1149 358 177.41852083333333 22.412994722222223 0.9911 28 20 44
macs1149 689 177.406325 22.406569166666667 0.7098 33 28 -56
macs1149 694 177.41965833333333 22.40668861111111 0.923 12 10 21
macs1149 825 177.41901666666666 22.4043575 0.7603 27 20 73
macs1206 1452 181.57147500000002 -8.807194166666667 1.0721 20 11 -89
macs1206 1461 181.55476666666667 -8.807555 0.4827 72 38 -30
macs1206 1703 181.56102083333334 -8.810825 0.9288 18 13 -53
macs1206 1837 181.55035 -8.812911388888889 1.056 49 16 9
macs1206 253 181.54456666666667 -8.787588055555556 1.0162 30 20 -48
macs1206 449 181.5388 -8.791041111111111 0.7244 20 14 78
macs1206 662 181.54387083333333 -8.79417361111111 0.7239 38 30 55
macs1206 727 181.5405458333333 -8.796461388888888 0.5573 17 14 -45
macs1311 1023 197.77260416666667 -3.1772275 0.918 28 23 -71
macs1311 1332 197.77175833333334 -3.1824344444444446 0.8602 11 10 -60
macs1311 1516 197.77011666666667 -3.186741666666667 0.5462 55 30 -20
macs1311 160 197.77105 -3.161153611111111 0.8481 25 16 41
macs1311 174 197.76103333333333 -3.1610405555555556 0.8123 19 12 -21
macs1311 307 197.76169583333333 -3.1635305555555555 1.0322 27 23 50
macs1311 385 197.752375 -3.164817222222222 0.6986 24 22 -34
macs1311 404 197.74815 -3.165458611111111 0.6927 25 19 -64
macs1311 487 197.76421666666667 -3.167520833333333 0.4292 27 20 34
macs1311 595 197.76572916666666 -3.169956111111111 0.8486 13 11 71
macs1311 642 197.755275 -3.1725208333333335 0.9243 69 37 -9
macs1311 698 197.76612500000002 -3.171412777777778 0.8495 20 15 -69
macs1423 1113 215.96984583333332 24.07675111111111 0.8919 26 23 61
macs1423 1138 215.95608333333334 24.0758825 0.6902 48 34 -75
macs1423 1373 215.9352458333333 24.070539166666666 0.8856 16 9 -18
macs1423 1375 215.93442916666666 24.072510833333332 0.8493 14 9 65
macs1423 1481 215.93728750000002 24.071253333333335 0.8564 27 21 28
macs1423 161 215.94295 24.095141388888887 1.0904 12 9 -57
macs1423 1653 215.9651333333333 24.068075555555556 0.5965 30 16 -67
macs1423 1764 215.93512083333334 24.065590277777776 0.6286 22 18 -42
macs1423 21 215.9528 24.100349444444443 0.7219 28 21 -19
macs1423 422 215.93344583333334 24.08864611111111 0.6845 14 9 3
macs1423 458 215.94059166666665 24.08779638888889 0.4816 12 10 75
macs1423 663 215.94069583333334 24.0831375 0.696 25 20 49
macs1423 90 215.95161666666667 24.097481388888887 0.0879 27 23 25
macs1423 953 215.9281 24.07928111111111 0.8815 15 8 -80
macs1720 101 260.0768708333333 35.627609722222225 0.8559 19 15 -65
macs1720 113 260.06360416666666 35.627051944444446 0.6875 19 8 5
macs1720 1486 260.0875208333333 35.599829166666666 0.643 38 24 -31
macs1720 1511 260.0478541666667 35.5986 0.498 33 31 -16
macs1720 1517 260.09482916666667 35.59896138888889 0.8478 16 8 65
macs1720 1594 260.0715916666666 35.597318888888886 0.7803 16 13 13
macs1720 1675 260.088375 35.594904444444445 0.6607 40 20 0
macs1720 1806 260.08005833333334 35.593159444444446 0.9692 20 12 -58
macs1720 1827 260.05677083333336 35.59430305555556 0.5543 21 15 -29
macs1720 242 260.07027916666664 35.623125 0.9306 24 9 5
macs1720 297 260.0566666666667 35.62134722222222 0.3661 43 26 -83
macs1720 344 260.0842875 35.619282222222225 0.8641 23 12 -75
macs1720 447 260.08713750000004 35.618856111111114 0.4927 15 14 -11
macs1720 448 260.08781250000004 35.61569388888889 0.8479 23 21 -80
macs1931 1647 292.9673583333333 -26.583313611111112 1.1654 15 12 64
macs1931 913 292.96596666666665 -26.57356138888889 0.7903 31 29 73
macs2129 1077 322.36806666666666 -7.6930555555555555 0.8492 18 14 -86
macs2129 1871 322.3555 -7.707088611111111 1.0664 27 13 23
macs2129 1985 322.3719541666667 -7.709394722222222 0.7199 21 13 -27
macs2129 282 322.374625 -7.676721388888889 0.8487 20 14 3
ms2137 1014 325.0737541666667 -23.66516138888889 0.8982 30 20 5
ms2137 1325 325.0714791666666 -23.672071944444443 0.4555 37 33 -28
ms2137 1350 325.0421625 -23.671841944444445 0.9713 10 7 35
ms2137 1495 325.0773791666667 -23.676349166666668 0.7743 14 11 -67
ms2137 594 325.0643125 -23.646261388888888 0.7338 28 18 -32
ms2137 748 325.0807208333334 -23.65971138888889 0.8494 17 8 70
ms2137 870 325.0717666666667 -23.66227222222222 0.6003 34 23 -81
rxj1347 145 206.88212083333332 -11.73636861111111 0.9485 30 14 14
rxj1347 1507 206.88815416666665 -11.761284166666666 0.6544 24 19 -47
rxj1347 1874 206.88594583333332 -11.76817138888889 0.8985 30 24 13
rxj1347 240 206.87847916666666 -11.739701666666667 1.0315 40 20 -5
rxj1347 402 206.8796875 -11.744091666666666 0.9345 45 24 8
rxj1347 452 206.88334166666667 -11.74498111111111 0.985 64 37 29
rxj1347 629 206.90018750000002 -11.747580833333334 0.8496 14 12 66
rxj1532 1208 233.22652916666667 30.341464722222224 0.4313 13 13 18
rxj1532 1210 233.242125 30.341707222222222 1.0351 12 12 54
rxj1532 125 233.21011666666666 30.367209166666665 0.8964 20 14 -58
rxj1532 1339 233.20419583333333 30.336671944444443 1.1071 22 16 51
rxj1532 1537 233.22234583333335 30.330504722222223 0.6135 15 11 5
rxj1532 588 233.24642083333333 30.355066666666666 1.0135 31 19 72
rxj1532 647 233.22494583333332 30.3539425 0.8439 36 28 20
rxj1532 832 233.20553333333334 30.350548888888888 0.5196 19 17 -23
rxj1532 940 233.22907916666668 30.347204166666668 0.8674 33 22 -52
rxj2129 1031 322.40364166666666 0.08796138888888888 0.5999 14 8 16
rxj2129 130 322.41665 0.10711083333333334 0.8718 11 9 5
rxj2129 1359 322.42056249999996 0.07933388888888888 0.5968 25 21 -37
rxj2129 1546 322.406925 0.07629972222222221 0.8546 22 20 17
rxj2129 170 322.4242 0.10636972222222223 0.5532 21 13 -33
rxj2129 246 322.4055333333333 0.10448722222222222 0.6321 23 13 45
